ep,tag,loss_data,loss_arrhenius,loss_peak_height,loss_tail_decline,loss_reg,loss_total
59,[Alt3 theta] Ep 02,0.05195142292451147,0.01093192465670474,0.0024520552367847987,1.2405034008879113e-22,2.153236985230472e-07,0.05218334507295728
60,[Alt3 theta] Ep 03,0.052265055405777285,0.011116393246092237,0.002300613676334046,0.0,2.153236985230472e-07,0.05249124995132841
61,[Alt3 theta] Ep 04,0.0521692612065791,0.011143700765059874,0.0025577407973318062,2.748752321959588e-22,2.153236985230472e-07,0.052408585195358307
62,[Alt3 theta] Ep 05,0.0522062977831517,0.01082080924833143,0.002390389233132614,6.164032745723834e-18,2.153236985230472e-07,0.05243402510998888
63,[Alt3 theta] Ep 06,0.05183063126756466,0.011007491801236127,0.002345817873978682,0.0,2.153236985230472e-07,0.05205799716153509
64,[Alt3 theta] Ep 07,0.05219872646832939,0.011066462005580868,0.002278591934140349,0.0,2.153236985230472e-07,0.05242332078564727
65,[Alt3 theta] Ep 08,0.05186396054053041,0.011131670023943926,0.002282358302761776,2.1893541806879483e-22,2.153236985230472e-07,0.052089395227544175
66,[Alt3 resid] Ep 01,0.05197970805622046,0.010693710129540245,0.0022323274875033034,0.0,2.1386992584523198e-07,0.0521982617192243
67,[Alt3 resid] Ep 02,0.051907622822254126,0.010433471417641855,0.0023839940849816107,1.77025176583318e-23,2.2573989610918943e-07,0.05213115732804327
68,[Alt3 resid] Ep 03,0.05175967451954797,0.010761386907852447,0.0025271485024687362,0.0,2.058481092808711e-07,0.051993645666804804
69,[Alt3 resid] Ep 04,0.05173531540253657,0.010596095441697954,0.002379512280355754,1.7006847293961537e-23,2.2087261224394932e-07,0.05196025198509577
70,[Alt3 resid] Ep 05,0.05204802026619782,0.010616915451513755,0.002305676744757822,0.0,2.3269554726733954e-07,0.052269473283337684
71,[Alt3 resid] Ep 06,0.05202499648812017,0.010548982265833262,0.0022692801230973273,0.0,2.1742878264607958e-07,0.05224395030270423
72,[Alt3 resid] Ep 07,0.05168195410688232,0.010438461561460752,0.0023308010882390606,2.5459472388178104e-13,2.245359237559438e-07,0.05190287863674179
73,[Alt3 resid] Ep 08,0.05160879205203372,0.010466125634339478,0.0022735708504525334,1.420747197931263e-17,2.1081338441486418e-07,0.05182713180044163
74,[Alt4 theta] Ep 01,0.052138568041112006,0.010982108545732928,0.0022744164998501036,2.91080479461826e-23,2.132684121155156e-07,0.05236210991410321
75,[Alt4 theta] Ep 02,0.05210416846193357,0.01069859797890122,0.002350390672893303,2.4857577851159887e-13,2.132684121155156e-07,0.05232867411639843
76,[Alt4 theta] Ep 03,0.05202352318667328,0.010990332107286196,0.002203163900238811,1.1584045889049005e-22,2.132684121155156e-07,0.0522435849311191
77,[Alt4 theta] Ep 04,0.05159286819796942,0.011187617037747358,0.002285541200096334,0.0,2.132684121155156e-07,0.05181902162793621
78,[Alt4 theta] Ep 05,0.0520086850649006,0.01092007353499129,0.002463331972112346,0.0,2.132684121155156e-07,0.05224105252659888
79,[Alt4 theta] Ep 06,0.052162219250710004,0.010797757823188026,0.0024020095011724764,0.0,2.132684121155156e-07,0.05239029720948426
80,[Alt4 theta] Ep 07,0.05207301170443528,0.011100457326785938,0.002260976033622367,1.5690341634682297e-24,2.132684121155156e-07,0.052297065048667324
81,[Alt4 theta] Ep 08,0.05192438371716537,0.010845408246323868,0.002417356695619051,1.9252186653935755e-21,2.132684121155156e-07,0.05215370562084875
82,[Alt4 resid] Ep 01,0.051843263808772105,0.010384445523356533,0.002270428953557071,0.0,2.1265308082609015e-07,0.052060629758744724
83,[Alt4 resid] Ep 02,0.05200911984256645,0.010450765356287226,0.0023001821921315884,7.014198948381862e-17,2.0989919712243088e-07,0.05222863687552629
84,[Alt4 resid] Ep 03,0.05180986612633517,0.010469046530422863,0.002300363107763565,5.673346481450274e-19,2.0604719746624806e-07,0.05202957480447891
85,[Alt4 resid] Ep 04,0.05184126026385153,0.010630047804600484,0.0023674272900255323,3.418906403722813e-16,2.0395602256933892e-07,0.05206593217866743
86,[Alt4 resid] Ep 05,0.051831361051619486,0.010574277456816251,0.0023405128064059545,0.0,2.179927735101005e-07,0.052054129406151166
87,[Alt4 resid] Ep 06,0.05184707277599168,0.010533333093196422,0.0023806587106349753,0.0,2.0031062095913431e-07,0.05207143913454225
88,[Alt4 resid] Ep 07,0.05166997635492694,0.010557217372430337,0.002461742070704941,0.0,2.272753207734781e-07,0.05189863546213412
89,[Alt4 resid] Ep 08,0.05224832266751102,0.010450180586393888,0.002418490928239141,0.0,2.1247933507557054e-07,0.05247374907160086
90,[Joint] Ep 01,0.05194263104171081,0.011000139487756265,0.002313014968765944,3.335914139397485e-16,2.174393816392342e-07,0.052168283176289555
91,[Joint] Ep 02,0.051883107859343455,0.010857390927838849,0.00232647555012075,5.747587225600357e-24,2.116148343723146e-07,0.052108005524050816
92,[Joint] Ep 03,0.05221528159601295,0.011024228892884813,0.0023018933106725256,1.0471216836473638e-17,2.2563873133893484e-07,0.052440618639413336
93,[Joint] Ep 04,0.05185278243991454,0.01103248870050585,0.0023261886711277964,0.0,2.2746046177310638e-07,0.052079417076284856
94,[Joint] Ep 05,0.05173801723605458,0.010989146189646679,0.002395158480163724,0.0,2.2948078006814834e-07,0.051967666646453074
95,[Joint] Ep 06,0.05194231896055023,0.010747772616309088,0.002285223327584726,2.0271907028544783e-17,2.334732731630358e-07,0.05216405802639201
96,[Joint] Ep 07,0.05182073713355773,0.011114853996414322,0.002296122672446329,2.1846104936512432e-15,2.3367851650487733e-07,0.05204669181110656
97,[Joint] Ep 08,0.051926792669529515,0.010847713764723356,0.0022565066578027473,7.026784652355368e-19,2.3806098323473077e-07,0.05214809525657345
98,[Joint] Ep 09,0.05166894642464179,0.01098012333517676,0.002208541647798813,3.2701191509380955e-24,2.350076738136178e-07,0.0518891749439996
99,[Joint] Ep 10,0.05182857740500539,0.011048798088554863,0.002217250917956724,5.794551325782949e-15,2.350245248146928e-07,0.05204992803172334
100,[Joint] Ep 11,0.051992282188531046,0.010973590182828473,0.002203690091478821,7.331087580046111e-23,2.4103640558567694e-07,0.05221220250356825
101,[Joint] Ep 12,0.05171314148370781,0.010872187915149037,0.002360950381614657,0.0,2.4016014668040134e-07,0.051939910776422335
102,[Joint] Ep 13,0.05167386725572198,0.01097192930745649,0.002253536878330654,4.0947246940771215e-22,2.435832105707992e-07,0.051896263374359694
103,[Joint] Ep 14,0.05164895461230363,0.010853004885149432,0.002318977687509334,9.400696916910898e-18,2.379207271557076e-07,0.05187343356675712
104,[Joint] Ep 15,0.05206522492897437,0.011109773640160088,0.0023301573964190866,5.735158712089003e-22,2.337610905965858e-07,0.05229283056561709
105,[Joint] Ep 16,0.051737338489630504,0.010732646461005683,0.002349374053771093,0.0,2.382835673400321e-07,0.05196213381268453
106,[Joint] Ep 17,0.05186469953660308,0.010983999785002287,0.002301310010563099,0.0,2.353125185396567e-07,0.05208960521508948
107,[Joint] Ep 18,0.05183525946198937,0.011039491709288175,0.0022808688136465535,9.84583530508101e-23,2.381805751946894e-07,0.05205969768733642
108,[Joint] Ep 19,0.05219328670258013,0.010935260100407643,0.0023306102601388483,6.708196020816431e-17,2.3477397112278471e-07,0.052419169504679994
109,[Joint] Ep 20,0.05233355817491994,0.01114392522219065,0.0021887144756657347,9.553814396533062e-22,2.4445583911479795e-07,0.05255443331898769
